name,N,chi2,chi2N
NGC4013,36,5167.455790164177,143.5404386156716
NGC4051,7,1121.9141730623933,160.27345329462761
NGC4068,6,1.2326737347732115,0.2054456224622019
NGC4085,7,443.3999394676081,63.342848495372586
NGC4088,12,3414.900857906409,284.5750714922007
NGC4100,24,2484.3661151839115,103.51525479932964
NGC4138,7,424.7302315937722,60.675747370538886
NGC4157,17,3217.1003193397087,189.24119525527698
NGC4183,23,649.6596839323646,28.246073214450636
NGC4214,14,5.382587961398445,0.3844705686713175
NGC4217,19,3618.8588787686017,190.46625677729483
NGC4389,6,584.3627077437117,97.39378462395194
NGC4559,32,2133.5986286094085,66.67495714404401
NGC5005,18,1825.6558697076375,101.42532609486875
NGC5033,22,2174.843161691592,98.85650734961781
NGC5055,28,5288.0512450194965,188.8589730364106
NGC5371,19,6123.196686598315,322.27350982096397
NGC5585,24,127.7794466821546,5.324143611756441
NGC5907,19,2963.4636189872576,155.97176942038197
NGC5985,33,2771.212490692988,83.9761360816057
NGC6015,44,1966.600854028558,44.6954739551945
NGC6195,23,6711.1188206728275,291.78777481186205
NGC6503,31,828.09398007361,26.71270903463258
NGC6674,15,1278.0220552575788,85.20147035050526
NGC6789,4,7.770523231473737,1.9426308078684342
NGC6946,58,8103.303614436175,139.71213128338232
NGC7331,36,10360.225720063592,287.7840477795442
NGC7793,46,357.000667341879,7.760884072649544
NGC7814,18,1318.6447318184685,73.25804065658158
PGC51017,6,9.400172226940056,1.566695371156676
UGC00128,22,200.49907514706086,9.113594324866403
UGC00191,9,22.94883632186459,2.549870702429399
UGC00634,4,23.75514453993425,5.9387861349835624
UGC00731,12,33.04464943217942,2.7537207860149517
UGC00891,5,0.3531177948216916,0.07062355896433832
UGC01230,11,72.30556103190325,6.573232821082114
UGC01281,25,5.1423476810582756,0.20569390724233103
UGC02023,5,5.160076890908551,1.03201537818171
UGC02259,8,11.045709254043794,1.3807136567554743
UGC02455,8,248.5587852566731,31.069848157084138
UGC02487,17,1659.3253626200378,97.60737427176693
UGC02885,19,2400.903378281488,126.3633356990257
UGC02916,43,5655.868267984386,131.5318201856834
UGC02953,115,11553.575766332866,100.46587622898144
UGC03205,48,4964.351881378596,103.42399752872075
UGC03546,30,3006.534201470254,100.21780671567514
UGC03580,47,1631.747676716584,34.71803567482094
UGC04278,25,11.856934199160008,0.47427736796640035
UGC04305,22,156.3258505234272,7.1057204783376
UGC04325,8,14.138296492807743,1.767287061600968
UGC04483,8,1.7014891732275295,0.21268614665344118
UGC04499,9,28.257919179537687,3.1397687977264095
UGC05005,11,65.77533284997776,5.9795757136343415
UGC05253,73,6448.299006701236,88.33286310549639
UGC05414,6,4.029262345343668,0.6715437242239446
UGC05716,12,9.33279225648496,0.7777326880404134
UGC05721,23,33.36048435771334,1.4504558416397104
UGC05750,11,40.03494287710837,3.6395402615553065
UGC05764,10,25.801002598486726,2.5801002598486726
UGC05829,11,11.894949720751782,1.0813590655228893
UGC05918,8,3.88393690426025,0.48549211303253126
UGC05986,15,53.779477749194086,3.585298516612939
UGC05999,5,55.16620955641402,11.033241911282804
UGC06399,9,16.01885014938586,1.779872238820651
UGC06446,17,20.0955798227993,1.1820929307529
UGC06614,13,1779.3025924639087,136.86943018953144
UGC06628,7,122.88121619607328,17.5544594565819
UGC06667,9,23.238435082338288,2.582048342482032
UGC06786,45,2354.994449836758,52.3332099963724
UGC06787,71,4426.419869961632,62.343941830445516
UGC06818,8,22.44125501877287,2.805156877346609
UGC06917,11,131.212706396077,11.928427854188818
UGC06923,6,30.37894618770589,5.063157697950982
UGC06930,10,250.61618582899428,25.061618582899428
UGC06973,9,1405.7162334714983,156.19069260794424
UGC06983,17,144.37342904725,8.492554649838235
UGC07089,12,113.71614370135997,9.476345308446664
UGC07125,13,256.79869585920716,19.753745835323627
UGC07151,11,24.65996678949495,2.241815162681359
UGC07232,4,1.3067541933781746,0.32668854834454364
UGC07261,7,12.128846542979232,1.7326923632827476
UGC07323,10,76.42382252853513,7.642382252853513
UGC07399,10,25.864340719982664,2.5864340719982666
UGC07524,31,169.78585993049506,5.476963223564357
UGC07559,7,0.21627541086785865,0.03089648726683695
UGC07577,9,1.3064426821333435,0.14516029801481595
UGC07603,12,8.002802225260227,0.6669001854383523
UGC07608,8,9.366230032268938,1.1707787540336172
UGC07690,7,3.6409845127148524,0.5201406446735504
UGC07866,7,0.15054611937889595,0.021506588482699422
UGC08286,17,10.851199760688296,0.6383058682757821
UGC08490,30,4.382410297847077,0.14608034326156924
