name,N,chi2,chi2N
UGC09133,65,9093.771748326353,139.90418074348236
UGC09992,5,3.8847674110923514,0.7769534822184703
UGC10310,7,22.329958359381482,3.1899940513402116
UGC11455,33,8716.475933086173,264.13563433594464
UGC11557,11,621.9668458927939,56.542440535708536
UGC11820,7,31.280662870273723,4.468666124324818
UGC11914,60,4081.1664325015854,68.01944054169309
UGC12506,30,1761.604251271223,58.72014170904076
UGC12632,14,37.626206710768464,2.687586193626319
UGC12732,16,59.33649188373374,3.708530742733359
UGCA281,6,0.8727310827260468,0.14545518045434114
UGCA442,8,2.856730706586845,0.3570913383233556
UGCA444,32,17.296667741932048,0.5405208669353765
