name,N,chi2,chi2N
UGC01230,11,18.226247624058466,1.6569316021871332
UGC01281,25,12.060786963647612,0.48243147854590446
UGC02023,5,13.069954745875778,2.6139909491751556
UGC02259,8,1.7516867917536112,0.2189608489692014
UGC02455,8,203.2107775044335,25.40134718805419
UGC02487,17,0.9078845390820407,0.05340497288717887
UGC02885,19,47.37852348907621,2.4936064994250637
UGC02916,43,242.11838540910026,5.630660125793029
UGC02953,115,293.4327172485441,2.551588845639514
UGC03205,48,89.79487039723584,1.87072646660908
UGC03546,30,219.31193368654604,7.310397789551534
UGC03580,47,541.3145590791394,11.517331044237007
UGC04278,25,16.400950369625093,0.6560380147850037
UGC04305,22,191.70458736917948,8.713844880417248
UGC04325,8,2.968385100454348,0.3710481375567935
UGC04483,8,3.6065369843228714,0.4508171230403589
UGC04499,9,16.100031780711166,1.7888924200790184
UGC05005,11,25.39923380661591,2.309021255146901
UGC05253,73,222.57365219625964,3.0489541396747897
UGC05414,6,11.128041380726508,1.854673563454418
UGC05716,12,3.5020404831372156,0.2918367069281013
UGC05721,23,12.076218520209881,0.5250529791395601
UGC05750,11,24.203726602321353,2.2003387820292137
UGC05764,10,3.1777223822656198,0.317772238226562
UGC05829,11,9.123450613353716,0.8294046012139742
UGC05918,8,3.337728433070464,0.417216054133808
UGC05986,15,5.17646241473685,0.34509749431579
UGC05999,5,11.288075217214294,2.2576150434428586
UGC06399,9,4.669730076584502,0.518858897398278
UGC06446,17,2.3107125780692015,0.13592426929818832
UGC06614,13,89.45724935503837,6.88132687346449
UGC06628,7,71.93665936858797,10.276665624083995
UGC06667,9,8.050029881612627,0.8944477646236252
UGC06786,45,26.836099434116132,0.5963577652025808
UGC06787,71,122.13395693374419,1.7201965765316083
UGC06818,8,29.402057061184212,3.6752571326480266
UGC06917,11,12.773969990107043,1.1612699991006403
UGC06923,6,17.29003449129631,2.8816724152160518
UGC06930,10,23.500803316106555,2.3500803316106555
UGC06973,9,242.1557167893488,26.906190754372087
UGC06983,17,9.345452946099007,0.549732526241118
UGC07089,12,49.20242380153198,4.100201983460998
UGC07125,13,115.10575885060801,8.854289142354462
UGC07151,11,16.327800156670467,1.4843454687882243
UGC07232,4,1.9143478514334755,0.4785869628583689
UGC07261,7,5.997810699754647,0.8568300999649496
UGC07323,10,35.394149702896634,3.5394149702896636
UGC07399,10,16.76407374205871,1.676407374205871
UGC07524,31,41.108396137864155,1.3260772947698114
UGC07559,7,12.491197898278907,1.7844568426112724
UGC07577,9,22.340932233243752,2.48232580369375
UGC07603,12,2.815122945531362,0.2345935787942802
UGC07608,8,1.153028904908472,0.144128613113559
UGC07690,7,9.112640948137493,1.3018058497339275
UGC07866,7,8.447542767385684,1.2067918239122406
UGC08286,17,1.6256680779941597,0.09562753399965646
UGC08490,30,0.599294321946954,0.019976477398231798
UGC08550,11,1.518104787730829,0.13800952615734807
UGC08699,41,67.14622661832912,1.6377128443494908
UGC08837,8,29.704810842444353,3.713101355305544
UGC09037,22,378.27792980354127,17.19445135470642
UGC09133,68,316.15996324721465,4.649411224223745
UGC09992,5,14.666051123584602,2.9332102247169205
UGC10310,7,7.894329030375827,1.1277612900536895
UGC11455,36,323.78656863255674,8.994071350904354
UGC11557,12,182.25651286453535,15.18804273871128
UGC11820,10,8.796252267715868,0.8796252267715868
UGC11914,65,80.86712551318651,1.2441096232797924
UGC12506,31,22.350378711529572,0.7209799584364378
UGC12632,15,12.041891111414094,0.8027927407609395
UGC12732,16,7.972403620872365,0.4982752263045228
UGCA281,7,3.079554957321423,0.439936422474489
UGCA442,8,1.538524401497318,0.19231555018716476
UGCA444,36,8.042897380632153,0.22341381612867092
